;familyKey;family;rank
384;8390.0;stictidaceae;family
385;8391.0;porinaceae;family
386;8392.0;neolectaceae;family
387;8393.0;medeolariaceae;family
388;8394.0;triblidiaceae;family
389;8395.0;ascobolaceae;family
390;8396.0;carbomycetaceae;family
391;8397.0;karstenellaceae;family
392;8398.0;morchellaceae;family
393;8399.0;pezizaceae;family
394;8400.0;sarcoscyphaceae;family
395;8401.0;endomycetaceae;family
396;8402.0;eremotheciaceae;family
397;8403.0;phaffomycetaceae;family
398;8404.0;pichiaceae;family
399;8405.0;saccharomycodaceae;family
400;8406.0;saccharomycopsidaceae;family
401;8407.0;schizosaccharomycetaceae;family
402;8408.0;boliniaceae;family
403;8409.0;chaetosphaeriaceae;family
404;8410.0;bertiaceae;family
405;8411.0;chaetosphaerellaceae;family
406;8412.0;cryphonectriaceae;family
407;8413.0;melanconidaceae;family
408;8414.0;pseudovalsaceae;family
409;8415.0;schizoparmaceae;family
410;8416.0;bionectriaceae;family
411;8417.0;clavicipitaceae;family
412;8418.0;cordycipitaceae;family
413;8419.0;hypocreaceae;family
414;8420.0;niessliaceae;family
415;8421.0;ophiocordycipitaceae;family
416;8422.0;hispidicarpomycetaceae;family
417;8423.0;chadefaudiellaceae;family
418;8424.0;halosphaeriaceae;family
419;8425.0;microascaceae;family
420;8426.0;cephalothecaceae;family
421;8427.0;listerellaceae;family
422;8429.0;physaraceae;family
423;8431.0;stemonitidaceae;family
424;8432.0;arcyriaceae;family
425;8433.0;chaetomiaceae;family
426;8434.0;helminthosphaeriaceae;family
427;8435.0;trichosphaeriaceae;family
428;8436.0;cainiaceae;family
429;8437.0;diatrypaceae;family
430;8438.0;graphostromataceae;family
431;8439.0;protomycetaceae;family
432;8440.0;bolbitiaceae;family
433;8441.0;broomeiaceae;family
434;8442.0;clavariaceae;family
435;8443.0;fistulinaceae;family
436;8444.0;hemigasteraceae;family
437;8445.0;hydnangiaceae;family
438;8446.0;niaceae;family
439;8447.0;pluteaceae;family
440;8448.0;pterulaceae;family
441;8449.0;coniophoraceae;family
442;8450.0;gasterellaceae;family
443;8451.0;protogastraceae;family
444;8452.0;rhizopogonaceae;family
445;8453.0;sclerodermataceae;family
446;8454.0;serpulaceae;family
447;8455.0;suillaceae;family
448;8456.0;aphelariaceae;family
449;8457.0;cantharellaceae;family
450;8458.0;ceratobasidiaceae;family
451;8459.0;clavulinaceae;family
452;8460.0;hydnaceae;family
453;8461.0;corticiaceae;family
454;8462.0;gloeophyllaceae;family
